,playerlink,playername,age,from club,to club,Date,MV
0,https://www.footballtransfers.com/en/players/zidane-agustini-banjaqui,Zidane Banjaqui,23,Casa,Mafra,01-07-2022,Free
1,https://www.footballtransfers.com/en/players/kai-eisele,Kai Eisele,27,Dusseldorf,Karlsruher SC,01-07-2022,Free
2,https://www.footballtransfers.com/en/players/shaun-williams,Shaun Williams,35,Portsmouth,Gillingham,01-07-2022,Free
3,https://www.footballtransfers.com/en/players/curtis-allen,Curtis Allen,34,Coleraine,Carrick,01-07-2022,Free
4,https://www.footballtransfers.com/en/players/nathan-buaikiala,Nathan Buayi-Kiala,18,Lille,Parma,01-07-2022,Free
5,https://www.footballtransfers.com/en/players/janik-haberer,Janik Haberer,28,SC Freiburg,Union Berlin,01-07-2022,Free
6,https://www.footballtransfers.com/en/players/alex-pearce,Alex Pearce,33,Millwall,Wimbledon,01-07-2022,Free
7,https://www.footballtransfers.com/en/players/jamie-leveling-leweling,Jamie Leweling,21,SpVgg Greuther,Union Berlin,01-07-2022,€4M
8,https://www.footballtransfers.com/en/players/declan-gallagher,Declan Gallagher,31,Aberdeen,St. Mirren,01-07-2022,Free
9,https://www.footballtransfers.com/en/players/gabriel-isik,Gabriel Isik,23,Winterthur,Vaduz,01-07-2022,Free
10,https://www.footballtransfers.com/en/players/ilya-karpuk,Ilya Karpuk,24,Enisey,Tekstilshchik,01-07-2022,Free
11,https://www.footballtransfers.com/en/players/pepijn-doesburg,Pepijn Doesburg,21,Sparta Rotterdam,Dordrecht,01-07-2022,Free
12,https://www.footballtransfers.com/en/players/stanislav-shopov,Stanislav Shopov,20,Heerenveen,CSKA Sofia,01-07-2022,Free
13,https://www.footballtransfers.com/en/players/alfredo-talavera,Alfredo Talavera,39,Pumas,Juarez,01-07-2022,Free
14,https://www.footballtransfers.com/en/players/walter-benitez,Walter Benítez,29,Nice,PSV,01-07-2022,Free
15,https://www.footballtransfers.com/en/players/chris-porter,Chris Porter,38,Crewe Alexandra,Oldham,01-07-2022,Free
16,https://www.footballtransfers.com/en/players/phillip-cancar,Phillip Cancar,21,West Sydney,Livingston,01-07-2022,Free
17,https://www.footballtransfers.com/en/players/ruben-diogo-francisco-freitas,Rúben Freitas,29,Nacional,Penafiel,01-07-2022,Free
18,https://www.footballtransfers.com/en/players/jimmy-giraudon,Jimmy Giraudon,30,Troyes,Saint-Etienne,01-07-2022,Free
19,https://www.footballtransfers.com/en/players/yann-yves-laurent-bodiger,Yann Bodiger,27,Cartagena,Granada,01-07-2022,Free
20,https://www.footballtransfers.com/en/players/kusini-yengi,Kusini Yengi,23,Adelaide,West Sydney,01-07-2022,Free
21,https://www.footballtransfers.com/en/players/jimmy-cabot,Jimmy Cabot,28,Angers,Lens,01-07-2022,€2M
22,https://www.footballtransfers.com/en/players/matthew-hatch-1,Matt Hatch,21,CC,Perth Glory,01-07-2022,Free
23,https://www.footballtransfers.com/en/players/mats-kohlert,Mats Köhlert,24,Willem II,Heerenveen,01-07-2022,Free
24,https://www.footballtransfers.com/en/players/nayef-aguerd,Nayef Aguerd,26,Rennes,West Ham,01-07-2022,€35M
25,https://www.footballtransfers.com/en/players/lucian-mihai-dumitriu,Lucian Dumitriu,29,Mioveni,Petrolul 52,01-07-2022,Free
26,https://www.footballtransfers.com/en/players/sadio-mane,Sadio Mané,30,Liverpool,Bayern,01-07-2022,€32M
27,https://www.footballtransfers.com/en/players/robert-leipertz,Robert Leipertz,29,Heidenheim,Paderborn,01-07-2022,Free
28,https://www.footballtransfers.com/en/players/daniel-pik,Daniel Pik,21,Cracovia,Radomiak,01-07-2022,Free
29,https://www.footballtransfers.com/en/players/artem-popov,Artem Popov,29,Baltika,Rubin,01-07-2022,Free
30,https://www.footballtransfers.com/en/players/anthony-briancon,Anthony Briançon,27,Nimes Olympique,Saint-Etienne,01-07-2022,Free
31,https://www.footballtransfers.com/en/players/mathias-olivera-miramontes,Mathías Olivera,24,Getafe,Napoli,01-07-2022,€11M
