,Name,Age:,Nationality,From club,To club,Transfer date,Market Value,Fees
0,Raúl Silva,32,Brazil,SC Braga,Universitatea Craiova,"Jul 1, 2022",€1.00m,free transfer
1,Vinni Triboulet,23,Cameroon,AS Nancy-Lorraine,Without Club,"Jul 1, 2022",€500Th.,-
2,Thomas Fontaine,31,Madagascar,AS Nancy-Lorraine,Without Club,"Jul 1, 2022",€500Th.,-
3,Mamadou Diallo,27,Guinea,Grenoble Foot 38,Without Club,"Jul 1, 2022",€500Th.,-
4,Andreas Hountondji,19,France,SM Caen,Quevilly Rouen Métropole,"Jul 1, 2022",€500Th.,loan transfer
5,Migouel Alfarela,24,France,Paris FC,SC Bastia,"Jul 1, 2022",€600Th.,?
6,Fernandinho,37,Brazil,Manchester City,Club Athletico Paranaense,"Jul 18, 2022",€1.50m,free transfer
7,Julien Le Cardinal,24,France,SC Bastia,Paris FC,"Jul 1, 2022",€900Th.,€600Th.
8,Tashan Oakley-Boothe,22,England,Stoke City U23,Lincoln City,"Jul 1, 2022",€900Th.,loan transfer
9,Jordan Holsgrove,22,Scotland,Celta Vigo B,FC Paços de Ferreira,"Jul 1, 2022",€500Th.,free transfer
10,Andrés Rentería,29,Colombia,Jaguares de Córdoba,Deportes Tolima,"Jul 1, 2022",€500Th.,?
11,Roberto López,22,Spain,Real Sociedad B,Real Sociedad,"Jul 1, 2022",€4.00m,-
12,Roberto López,22,Spain,Real Sociedad,CD Mirandés,"Jul 2, 2022",€4.00m,loan transfer
13,Josh Earl,23,England,Preston North End,Fleetwood Town,"Jul 1, 2022",€800Th.,free transfer
14,Tom Bayliss,23,England,Preston North End,Shrewsbury Town,"Jul 1, 2022",€700Th.,free transfer
15,Fabián Ángel,21,Colombia,Junior FC,CA Newell's Old Boys,"Jul 1, 2022",€900Th.,loan transfer
16,Nicolás Mezquida,30,Uruguay,Colorado Rapids,Volos NPS,"Jul 1, 2022",€500Th.,?
17,Alphonse Areola,29,France,Paris Saint-Germain,West Ham United,"Jul 1, 2022",€8.00m,€12.00m
18,Fahd El Khoumisti,29,France,US Concarneau,Le Mans FC,"Jul 1, 2022",€600Th.,free transfer
19,Amankwah Forson,19,Ghana,Red Bull Salzburg,SCR Altach,"Jul 1, 2022",€700Th.,loan transfer
20,Driess Saddiki,25,Morocco,Willem II Tilburg,Umm Salal SC,"Jul 1, 2022",€700Th.,free transfer
